Inspection ID,License #,DBA Name,Facility Type,Risk,City,State,Results
2600630,2590113,eleven eleven,restaurant,risk 1 (high),chicago,il,out of business
2509303,2483755,kentucky fried chicken,restaurant,risk 1 (high),chicago,il,fail
2600621,2602169,siri indian restaurant,restaurant,risk 1 (high),chicago,il,pass
2600624,84306,dan's hot dog stand,restaurant,risk 2 (medium),chicago,il,out of business
2600615,2677816,hyatt place,hotel,risk 1 (high),chicago,il,pass
2600603,2215780,pathways to learning child care center,childrens services facility,risk 1 (high),chicago,il,fail
2600605,2845798,taipei cafe,restaurant,risk 1 (high),chicago,il,pass
2509811,2496027,"el rodeo, inc.",grocery store,risk 1 (high),chicago,il,fail
2509812,70313,pizza nova express,restaurant,risk 1 (high),chicago,il,pass w/ conditions
2509823,2313695,jimmy buffett's margaritaville bar & grill,restaurant,risk 1 (high),chicago,il,pass w/ conditions
2509952,2458750,little wok,restaurant,risk 1 (high),chicago,il,fail
1228445,27947,the standard club,restaurant,risk 1 (high),chicago,il,pass
1229474,63503,oakdale covenant church academy and child care cen,daycare (2 - 6 years),risk 1 (high),chicago,il,pass
2600602,2951740,la markeza restaurant & coffee,restaurant,risk 1 (high),chicago,il,pass
1234719,1470838,bally total fitness corporation,restaurant,risk 2 (medium),chicago,il,fail
2510038,2617212,playas nayaritas 2,restaurant,risk 1 (high),chicago,il,pass w/ conditions
1285918,2142229,sizzlers pizza & grill,restaurant,risk 1 (high),chicago,il,pass
2600593,2906991,"teddy bear nursery schools, llc",children's services facility,risk 1 (high),chicago,il,pass
2600590,2423087,starbucks coffee #19549,restaurant,risk 2 (medium),chicago,il,out of business
1296681,1000572,jewel food store #3030,grocery store,risk 1 (high),chicago,il,fail
2510646,2427988,bittersweet,bakery,risk 1 (high),chicago,il,fail
2552511,3775,jackys hot dogs,restaurant,risk 1 (high),chicago,il,pass w/ conditions
2600578,2827385,seashell restaurant,restaurant,risk 2 (medium),chicago,il,no entry
2601956,2359065,bartucci,restaurant,risk 1 (high),chicago,il,no entry
1345463,2133989,afc sushi @ walgreens #15196,restaurant,risk 1 (high),chicago,il,pass
1335390,1303,treasure island foods inc,grocery store,risk 1 (high),chicago,il,pass
2552526,2535500,moon star grocery,grocery store,risk 1 (high),chicago,il,fail
2600570,2089173,lincoln karaoke,restaurant,risk 1 (high),chicago,il,no entry
1345579,2284736,einstein bros bagels #3620,restaurant,risk 1 (high),chicago,il,pass
1401342,1493675,taqueria huandacreo,restaurant,risk 1 (high),chicago,il,pass
2600563,2026727,dunkin donuts,restaurant,risk 2 (medium),chicago,il,out of business
1408247,1816485,sunrise fresh market 2,grocery store,risk 1 (high),chicago,il,pass
2600552,2608930,star convenience mart,grocery store,risk 2 (medium),chicago,il,out of business
1418579,2129312,chai asian bistro,restaurant,risk 1 (high),chicago,il,pass
2600548,2809113,pho no.1 brewing co.vietnamese noodle & craft beer,restaurant,risk 1 (high),chicago,il,pass
2600544,2622878,mcdonald's,restaurant,risk 2 (medium),chicago,il,pass
2600541,50600,star gyros,restaurant,risk 1 (high),chicago,il,fail
1434975,22481,john c. burroughs elementary,school,risk 1 (high),chicago,il,fail
1459702,1981981,south central community services,school,risk 1 (high),chicago,il,fail
2523054,1913873,dunkin donuts,restaurant,risk 2 (medium),chicago,il,pass
1453883,1820302,alliance bakery,bakery,risk 2 (medium),chicago,il,pass
2600538,2216862,care-a-lot e.l.c. ii,children's services facility,risk 1 (high),chicago,il,pass
2523276,2405009,orso's restaurant,restaurant,risk 1 (high),chicago,il,pass
1460109,2221636,zia's lago vista,restaurant,risk 1 (high),chicago,il,pass
1473606,1841897,chinatown buffet,restaurant,risk 1 (high),chicago,il,fail
2600526,2363848,bright beginnings early learning center llc,children's services facility,risk 1 (high),chicago,il,pass
2600525,1981654,division/lasalle apartments,golden diner,risk 1 (high),chicago,il,pass
2600515,2930284,taco moro,restaurant,risk 1 (high),chicago,il,fail
2600518,1914093,dunkin donuts,restaurant,risk 2 (medium),chicago,il,out of business
2600516,2404980,bang bang,bakery,risk 1 (high),chicago,il,pass
2600510,1479950,lucky's sandwich company,restaurant,risk 1 (high),chicago,il,fail
1493623,1841170,la fuente banquet hall,restaurant,risk 1 (high),chicago,il,fail
2523941,1544321,red pepper's lounge,restaurant,risk 2 (medium),chicago,il,pass
2600507,2488725,taqueria los flacos,restaurant,risk 1 (high),chicago,il,pass
2600495,1573767,the fairmont chicago,restaurant,risk 1 (high),chicago,il,fail
1493888,67265,los amantes,restaurant,risk 1 (high),chicago,il,pass
2552983,22091,john audubon elementary school,school,risk 1 (high),chicago,il,pass
1498044,1243125,4700 pete's fresh market,grocery store,risk 1 (high),chicago,il,fail
2600492,2464290,"some like it black creative arts bar, inc.",restaurant,risk 2 (medium),chicago,il,out of business
2600487,2704197,best bar,restaurant,risk 3 (low),chicago,il,no entry
2600490,1743425,carver 47,restaurant,risk 1 (high),chicago,il,no entry
1501433,1980326,alicia's  tamales,restaurant,risk 1 (high),chicago,il,pass w/ conditions
2553228,25441,spencer math and science academy,public shcool,risk 1 (high),chicago,il,pass
2600478,2890687,mcdonald's,restaurant,risk 2 (medium),chicago,il,pass
2600480,2901090,blue bottle coffee,restaurant,risk 2 (medium),chicago,il,pass
1501664,2235054,baby burritos,restaurant,risk 1 (high),chicago,il,pass
1501481,1514813,"carniceria la gloria no. 2, inc.",grocery store,risk 1 (high),chicago,il,fail
1502070,2138152,burrito grande perez,restaurant,risk 1 (high),chicago,il,pass
2528735,2807663,windy city smoked meats,restaurant,risk 1 (high),chicago,il,fail
2553437,34343,harold's chicken shack #35,restaurant,risk 2 (medium),chicago,il,pass w/ conditions
2528768,1675565,burrito station,restaurant,risk 1 (high),chicago,il,pass w/ conditions
2600452,12891,dinkel's bakery inc,bakery,risk 2 (medium),chicago,il,out of business
2600453,2555580,wendy's,restaurant,risk 1 (high),chicago,il,pass
2600447,38456,mario's table,restaurant,risk 1 (high),chicago,il,no entry
1512961,2137397,cafecito express,grocery store,risk 2 (medium),chicago,il,pass
1515343,55891,dunajec inc,grocery store,risk 1 (high),chicago,il,fail
2528997,2622623,juanita produce and restaurant,restaurant,risk 1 (high),chicago,il,fail
2553757,2040687,davis elementary (annex),school,risk 1 (high),chicago,il,fail
1516127,2373000,best ever fried,restaurant,risk 2 (medium),chicago,il,pass
2553777,2803074,mariscos el oceano,restaurant,risk 1 (high),chicago,il,pass
2600431,2708611,china ho restaurant,restaurant,risk 1 (high),chicago,il,pass w/ conditions
1523088,1336773,the pasta bowl company,restaurant,risk 1 (high),chicago,il,fail
1527574,15153,dicola seafood,restaurant,risk 1 (high),chicago,il,pass
1532680,1954531,"wallace catfish, inc.",restaurant,risk 1 (high),chicago,il,fail
2600413,2326535,"kids kingdom academy, inc.",children's services facility,risk 1 (high),chicago,il,fail
2600409,2578123,new taza bakery,restaurant,risk 1 (high),chicago,il,pass
2531841,2677617,pho 888,restaurant,risk 1 (high),chicago,il,fail
1532819,2151995,the edge,restaurant,risk 1 (high),chicago,il,pass
2600404,1494999,hq beercade ii,restaurant,risk 1 (high),chicago,il,no entry
2532087,2363771,ice bar,restaurant,risk 1 (high),chicago,il,pass
2532128,2812999,china kitchen,restaurant,risk 1 (high),chicago,il,pass w/ conditions
2554283,2767150,curly's deli mart,grocery store,risk 1 (high),chicago,il,pass
1561800,2411584,slice factory,restaurant,risk 1 (high),chicago,il,pass
1546761,1646879,o'malley's west,restaurant,risk 1 (high),chicago,il,pass
2600379,2583790,el llano restaurant,restaurant,risk 1 (high),chicago,il,pass
2600390,2987749,wingstop,restaurant,risk 1 (high),chicago,il,pass
2600385,2943628,el dulce sabor,restaurant,risk 1 (high),chicago,il,out of business
2534523,18556,walgreen #03948,grocery store,risk 3 (low),chicago,il,fail
2534753,1221783,grand food market,grocery store,risk 1 (high),chicago,il,fail
1561853,2078723,kanela cafe,restaurant,risk 1 (high),chicago,il,pass w/ conditions
1566570,1275158,supermercado antonio's corp.,grocery store,risk 1 (high),chicago,il,pass
